day,bucket,dep,arr
MON,00:00,0,0
MON,00:15,0,0
MON,00:30,0,0
MON,00:45,0,0
MON,01:00,0,0
MON,01:15,0,0
MON,01:30,0,0
MON,01:45,0,0
MON,02:00,0,0
MON,02:15,0,0
MON,02:30,0,0
MON,02:45,0,0
MON,03:00,0,0
MON,03:15,0,0
MON,03:30,0,0
MON,03:45,0,0
MON,04:00,0,0
MON,04:15,0,0
MON,04:30,0,0
MON,04:45,0,0
MON,05:00,2,1
MON,05:15,4,2
MON,05:30,4,3
MON,05:45,6,4
MON,06:00,12,6
MON,06:15,18,10
MON,06:30,18,14
MON,06:45,18,16
MON,07:00,28,22
MON,07:15,28,24
MON,07:30,26,26
MON,07:45,26,26
MON,08:00,30,28
MON,08:15,30,28
MON,08:30,28,28
MON,08:45,28,28
MON,09:00,26,28
MON,09:15,26,28
MON,09:30,24,28
MON,09:45,22,28
MON,10:00,22,28
MON,10:15,22,28
MON,10:30,22,28
MON,10:45,22,28
MON,11:00,22,30
MON,11:15,22,30
MON,11:30,22,30
MON,11:45,22,30
MON,12:00,24,30
MON,12:15,24,30
MON,12:30,26,30
MON,12:45,26,30
MON,13:00,26,30
MON,13:15,26,30
MON,13:30,28,30
MON,13:45,28,30
MON,14:00,28,30
MON,14:15,30,30
MON,14:30,30,28
MON,14:45,30,28
MON,15:00,30,28
MON,15:15,32,28
MON,15:30,32,26
MON,15:45,32,26
MON,16:00,32,26
MON,16:15,30,26
MON,16:30,30,26
MON,16:45,30,28
MON,17:00,30,28
MON,17:15,28,28
MON,17:30,26,28
MON,17:45,26,28
MON,18:00,26,28
MON,18:15,24,26
MON,18:30,22,26
MON,18:45,22,26
MON,19:00,22,26
MON,19:15,18,24
MON,19:30,18,22
MON,19:45,18,22
MON,20:00,18,22
MON,20:15,16,20
MON,20:30,14,18
MON,20:45,12,16
MON,21:00,12,16
MON,21:15,10,14
MON,21:30,8,12
MON,21:45,6,10
MON,22:00,6,8
MON,22:15,4,6
MON,22:30,4,4
MON,22:45,2,4
MON,23:00,2,4
MON,23:15,2,2
MON,23:30,0,2
MON,23:45,0,0
